Band Name,Dates,Tour Citites,Actual Venues,Algorithm-determined venues
Blacktop Mojo,"Feb 5, 2021","Houston, TX","The Studio, Warehouse Live","['Scout Bar', 'Smart Financial Centre at Sugar Land', 'Ford Park Event Center', 'Texas A&M University - College Station', 'Humble Arena', 'Salon Lazzeza', ""McGonigel's Mucky Duck""]"
Blacktop Mojo,"Oct 22, 2020","Louisville, KY",Diamond Pub Concert Hall,"[""Mojo's Boneyard Sports Bar"", 'Diamonds Bar & Grill - Highlands', 'Old National Events Plaza', 'Headliners Music Hall', 'Kentucky State Fair & Exposition Center', 'RiverPark Center', 'KFC Yum! Center', 'El Rio', 'Grand Lion Event Center']"
Blacktop Mojo,"Oct 21, 2020","Butler, PA",The Crafthouse Gastropub,"[""Brandy's on Main"", ""Jergel's Rhythm Grille"", 'Club Café', 'Amplify Church - Pittsburgh East Campus', 'PPG Paints Arena', ""McGarvey's Bar"", 'Vinoski Winery', 'Crafthouse Stage and Grill', 'Hard Rock Café - Pittsburgh', 'Club Café', ""Mr. Small's Theatre"", 'Vinoski Winery', 'Hard Rock Café - Pittsburgh']"
Blacktop Mojo,"Oct 18, 2020","Atlantic City, NJ",Anchor Rock Club,"[""Johnny Brenda's"", ""Penn's Peak"", 'Musikfest Cafe presented by Yuengling', 'Levitt Pavilion SteelStacks', 'Kung Fu Necktie']"
Blacktop Mojo,"Oct 16, 2020","Frenchtown, NJ",Artie’s Bar and Grill,[]
Blacktop Mojo,"Oct 12, 2020","Hopewell, VA",Beacon Theatre,[]
Blacktop Mojo,"Oct 10, 2020","Johnson City, TN",Capone’s,"['Dancing Bear Lodge', 'Wnc Agricultural Center (drive-in Area)', 'Salvage Station - Outdoor Stage', 'Dancing Bear Lodge', 'The Open Chord', 'Hazel Robinson Amphitheatre']"
Blacktop Mojo,"Oct 9, 2020","Fort Smith, AR",TempleLive Forst Smith,"[""Cain's Ballroom"", 'ArcBest Performing Arts Center', 'Expo Square Fairgrounds', 'Victory Church', 'Admiral Twin Drive-in', 'The Whittier Bar', 'IDL Ballroom']"
Blacktop Mojo,"Oct 7, 2020","Greer, SC",The Spinning Jenny,[]
Royal Bliss,"March 26, 2021","Salt Lake City, UT",The Royal,"['Urban Lounge', 'Maverik Center', ""Liquid Joe's"", 'The State Room', 'Salt Palace Convention Center', 'Kilby Court']"
Royal Bliss,"March 20, 2021","Ogden, UT",Kamikaze’s,"['Urban Lounge', 'Maverik Center', ""Liquid Joe's"", 'The State Room', 'Salt Palace Convention Center', 'Kilby Court']"
Royal Bliss,"March 19, 2021","Evanston, WY",Painted Lady Saloon,['Triangle Park']
Royal Bliss,"Feb 5, 2021","Salt Lake City, UT",The Depot ,"['Urban Lounge', 'Maverik Center', ""Liquid Joe's"", 'The State Room', 'Salt Palace Convention Center', 'Kilby Court']"
Royal Bliss,"Jan 16, 2021","Sturtevant, WI",Route 20,"['Shank Hall', 'Kimberly Clark Theater, Fox Cities Performing Arts Center', 'Turner Hall Ballroom', 'EPIC Event Center']"
Royal Bliss,"Nov 25, 2020","Salt Lake City, UT",The Depot ,"['Urban Lounge', 'Maverik Center', ""Liquid Joe's"", 'The State Room', 'Salt Palace Convention Center', 'Kilby Court']"
Royal Bliss,"Nov 13, 2020","Flint, MI",The Machine Shop,"['Royal Oak Music Theatre', ""The Shelter, St. Andrew's Hall"", 'The Token Lounge', 'The Magic Bag', 'The Token Lounge', 'Hot Rock']"
Royal Bliss,"Oct 23, 2020","Grand Junction, CO",Mesa Theater & Club,"[""Your Mom's House Denver"", 'Mesa Theater', 'Boulder Theater', ""Cervantes' Other Side"", ""Herman's Hideaway"", ""Cervantes' Masterpiece Ballroom"", 'Warehouse 25sixty-five Kitchen + Bar']"
Royal Bliss,"Oct 22, 2020","Joliet, IL",The Forge,"['Rialto Square Theatre', 'Unknown venue', 'Crusens II', 'Wintrust Field', 'RiverEdge Park', 'Peoria Civic Center', 'Grossinger Motors Arena', 'Wintrust Field']"
Royal Bliss,"Aug 30, 2020","Nashville, TN",The Cowan,"['The Warehouse', '3rd & Lindsley Bar & Grill', 'Scoreboard Bar and Grill', 'City Winery']"
Royal Bliss,"Aug 24, 2020","Baltimore, MD",Baltimore Soundstage,"['Metro Gallery', 'Ottobar', ""Union Jack's"", 'Merriweather Post Pavilion', 'Rams Head On Stage', 'Baltimore Soundstage', 'Metro Gallery']"
Remember Sports ,"July 18, 2020","Brooklyn, NY",Baby’s All Right,"['City Winery', 'Bowery Ballroom', 'The Vogel, Count Basie Center for the Arts', 'Mercury Lounge', 'Unknown venue', 'Mercury Lounge', 'City Winery-nyc', 'Monmouth University']"
Remember Sports ,"Nov 18, 2019","Columbus, OH",Ace of Cups,"['Woodlands Tavern', 'Ace of Cups', 'Rumba Café', 'The Summit', 'Newport Music Hall', 'Midland Theatre', 'Woodlands Tavern', 'Midway on High', 'Ace of Cups']"
Remember Sports ,"Nov 17, 2019","Chicago, IL",Beat Kitchen,"[""FitzGerald's"", 'WC Social Club', 'Subterranean', 'Golden Dagger', 'Harris Theater for Music and Dance', 'Hey Nonny Live Music + Local Kitchen']"
Remember Sports ,"Nov 15, 2019","Brooklyn, NY",Rough Trade NYC,"['City Winery', 'Bowery Ballroom', 'The Vogel, Count Basie Center for the Arts', 'Mercury Lounge', 'Unknown venue', 'Mercury Lounge', 'City Winery-nyc', 'Monmouth University']"
Remember Sports ,"Nov 14, 2019","Philadelphia, PA",Johnny Brenda’s,"[""Johnny Brenda's"", ""Penn's Peak"", 'Musikfest Cafe presented by Yuengling', 'Union Transfer', 'The Philadelphia Suzuki Piano Academy', 'Milkboy Philly', 'World Café Live', 'Kung Fu Necktie', 'The Fillmore Philadelphia', 'Musikfest Cafe presented by Yuengling', 'Milkboy Philly', 'Kung Fu Necktie', ""Johnny Brenda's""]"
Remember Sports ,"June 1, 2019","Brooklyn, NY",Baby’s All Right ,"['City Winery', 'Bowery Ballroom', 'The Vogel, Count Basie Center for the Arts', 'Mercury Lounge', 'Unknown venue', 'Mercury Lounge', 'City Winery-nyc', 'Monmouth University']"
