Band Name,Dates,Tour Citites,Actual Venues,Algorithm-determined venues,
Blacktop Mojo,5-Feb-21,"Houston, TX","The Studio, Warehouse Live",['Scout Bar'],
Blacktop Mojo,22-Oct-20,"Louisville, KY",Diamond Pub Concert Hall,[],
Blacktop Mojo,21-Oct-20,"Butler, PA",The Crafthouse Gastropub,"['Club Café', 'Vinoski Winery', 'Hard Rock Café - Pittsburgh']",
Blacktop Mojo,18-Oct-20,"Atlantic City, NJ",Anchor Rock Club,[],
Blacktop Mojo,16-Oct-20,"Frenchtown, NJ",Artie’s Bar and Grill,[],
Blacktop Mojo,12-Oct-20,"Hopewell, VA",Beacon Theatre,[],
Blacktop Mojo,10-Oct-20,"Johnson City, TN",Capone’s,['Dancing Bear Lodge'],
Blacktop Mojo,9-Oct-20,"Fort Smith, AR",TempleLive Forst Smith,[],
Blacktop Mojo,7-Oct-20,"Greer, SC",The Spinning Jenny,[],
Royal Bliss,26-Mar-21,"Salt Lake City, UT",The Royal,[],
Royal Bliss,20-Mar-21,"Ogden, UT",Kamikaze’s,[],
Royal Bliss,19-Mar-21,"Evanston, WY",Painted Lady Saloon,['Triangle Park'],
Royal Bliss,5-Feb-21,"Salt Lake City, UT",The Depot ,[],
Royal Bliss,16-Jan-21,"Sturtevant, WI",Route 20,[],
Royal Bliss,25-Nov-20,"Salt Lake City, UT",The Depot ,[],
Royal Bliss,13-Nov-20,"Flint, MI",The Machine Shop,['The Token Lounge'],
Royal Bliss,23-Oct-20,"Grand Junction, CO",Mesa Theater & Club,[],
Royal Bliss,22-Oct-20,"Joliet, IL",The Forge,['Wintrust Field'],
Royal Bliss,30-Aug-20,"Nashville, TN",The Cowan,['The Warehouse'],
Royal Bliss,24-Aug-20,"Baltimore, MD",Baltimore Soundstage,['Metro Gallery'],
Remember Sports ,18-Jul-20,"Brooklyn, NY",Baby’s All Right,['Mercury Lounge'],
Remember Sports ,18-Nov-19,"Columbus, OH",Ace of Cups,"['Ace of Cups', 'Woodlands Tavern']",
Remember Sports ,17-Nov-19,"Chicago, IL",Beat Kitchen,[],
Remember Sports ,15-Nov-19,"Brooklyn, NY",Rough Trade NYC,['Mercury Lounge'],
Remember Sports ,14-Nov-19,"Philadelphia, PA",Johnny Brenda’s,"['Milkboy Philly', 'Kung Fu Necktie']",
Remember Sports ,1-Jun-19,"Brooklyn, NY",Baby’s All Right ,['Mercury Lounge'],
Remember Sports ,4-May-19,"Cleveland, OH",Agora Theatre & Ballroom,"['Beachland Ballroom', 'Beachland Tavern']",
Remember Sports,28-Apr-19,"Baltimore, MD",Metro Gallery,['Metro Gallery'],
Remember Sports,27-Apr-19,"Asbury Park, NJ",Asbury Park Brewery,['Mercury Lounge'],
Remember Sports,13-Apr-19,"Gambier, OH",Kenyon College,['Kent Theater'],
Remember Sports,8-Apr-19,"Somerville, MA",ONCE Ballroom,"['The Center for the Arts in Natick (TCAN)', 'The Spire Center for Performing Arts', 'ONCE Ballroom']",
Cayetana,3-Aug-19,"Philadelphia, PA",Union Transfer,['Kung Fu Necktie'],
Cayetana,2-Aug-19,"Brooklyn, NY",Rough Trade NYC,['Mercury Lounge'],
Cayetana,1-Aug-19,"Cambridge, MA",The Sinclair ,"['The Center for the Arts in Natick (TCAN)', 'The Spire Center for Performing Arts', 'ONCE Ballroom']",
Cayetana,17-Jan-18,"Philadelphia, PA",Boot & Saddle,['Kung Fu Necktie'],
Cayetana,30-Nov-17,"Brooklyn, NY",Brooklyn Bowl,['Mercury Lounge'],
Cayetana,8-Oct-17,"Baltimore, MD",Metro Gallery,['Metro Gallery'],
Cayetana,7-Oct-17,"Charlotte, NC",The Evening Muse,"['Lenny Boy Brewing', 'Quest Brewing Co.', 'The Radio Room']",
Cayetana,6-Oct-17,"Tallahassee, FL",The Wilbury,[],
Cayetana,4-Oct-17,"Miami, FL",Gramps,[],
Cayetana,3-Oct-17,"Jacksonville, FL",Nighthawks (Archetype),['Jack Rabbits'],
Charly Bliss,12-Dec-20,"Columbus, OH",Rumba Café,"['Ace of Cups', 'Woodlands Tavern']",
Charly Bliss,28-Dec-19,"Chicago, IL",Lincoln Hall,"['Harris Theater for Music and Dance', 'Hey Nonny Live Music + Local Kitchen']",
Charly Bliss,14-Nov-19,"Philadelphia, PA",The Foundry,['Kung Fu Necktie'],
Charly Bliss,13-Nov-19,"New York, NY",Webster Hall,"['Mercury Lounge', 'Music Hall of Williamsburg', 'The Stone Pony']",
Charly Bliss,5-Oct-19,"Eugene, OR",WOW Hall,['Camp Tadmor'],
Charly Bliss,3-Oct-19,"Sacramento, CA",Holy Driver,[],
Charly Bliss,2-Oct-19,"Fresno, CA",Strummer’s,[],
Charly Bliss,1-Oct-19,"San Luis Obispo, CA",SLO Brew Rock,['Unknown venue'],
Charly Bliss,21-Sep-19,"Lincoln, NE",Lincoln Calling,[],
Charly Bliss,20-Sep-19,"Iowa City, IA",Gabe’s Oasis,[],
Moon Taxi,"February 8th, 2020","Macon, GA",Hargray Capital Theater,['37 Main Avondale Estates'],
Moon Taxi,"February 6th, 2020","Athens, GA",Georgia Theater,['37 Main Avondale Estates'],
Moon Taxi,"December 21st, 2019","Pelham, TN",The Cavers,"['The Signal', 'The Caverns']",
Moon Taxi,"August 10th, 2019","Littleton, CO",Breckenridge Brewery,[],
Moon Taxi,"August 9th, 2019","Brevard, NC",Oskar Blues REEB Ranch,[],
Moon Taxi,"July 13th, 2019","Louisville, KY",Belle of Louisville,"['Diamonds Bar & Grill - Highlands', 'Headliners Music Hall']",
Moon Taxi,"July 7th, 2019","Milwaukee, WI",Hacienda Brewing Company,"['River Shores Church', 'Fox Cities PAC', 'Fox River Christian Church', 'Cup O Joy']",
Moon Taxi,"April 25th, 2019","Nashville, TN",Riverfront Park,[],
Moon Taxi,"April 19th, 2019","Knoxville, TN",The Mill & Mine,"['Open Chord Music', 'Orange Peel']",
Moon Taxi,"April 7th, 2019","Aspen, CO",Belly Up,[],
Abandoned by Bears,25-Oct-18,"Nashville, TN",The End,['The Warehouse'],
Abandoned by Bears,24-Oct-18,"Newport, KY",Thompson House,[],
Abandoned by Bears,23-Oct-18,"Lakewood, OH",Mahall's Locker Room,"['Beachland Tavern', 'MGM Northfield Park - Neon Room']",
Abandoned by Bears,22-Oct-18,"Fort Wayne, IN",The Glory Hub,['The Vibes Venue'],
Abandoned by Bears,21-Oct-18,"Columbus, OH",Big Room Bar,[],
Abandoned by Bears,20-Oct-18,"Indianapolis, IN",Hoosier Dome,[],
Abandoned by Bears,19-Oct-18,"Warren, MI",The Hot Rock Bar,[],
Abandoned by Bears,18-Oct-18,"Pittsburgh, PA",Foxtail,"['Club Café', ""McGarvey's Bar""]",
Abandoned by Bears,17-Oct-18,"Erie, PA",PACA Concert Hall,[],
Abandoned by Bears,16-Oct-18,"Syracuse, NY",Spark Contemporary Art Space,,[]
Great Grandpa,12-Mar-20,"San Francisco, CA",Rickshaw Stop,,[]
Great Grandpa,16-Nov-19,"Seattle, WA",Chop Suey,,[]
Great Grandpa,6-Nov-19,"Somerville, MA",ONCE,,"['The Center for the Arts in Natick (TCAN)', 'The Spire Center for Performing Arts', 'ONCE Ballroom']"
Great Grandpa,5-Nov-19,"Brooklyn, NY","Zone One, Elsewhere",,['Mercury Lounge']
Great Grandpa,4-Nov-19,"Philadelphia, PA",Everybody Hits,,"['Milkboy Philly', 'Kung Fu Necktie']"
Great Grandpa,3-Nov-19,"Washington DC, US",Songbyrd - Upstairs,,"['DC9 Nightclub', ""Smithsonian's National Zoo""]"
Great Grandpa,25-Oct-19,"San Francisco, CA",The Chapel - Outdoor Stage,,[]
Great Grandpa,20-Oct-19,"Hollywood, CA",Fonda Theatre,,[]
Great Grandpa,19-Oct-19,"Santa Ana, CA",The Observatory,,[]
Great Grandpa,6-Oct-19,"San Diego, CA",The Casbah,,[]
Junglepussy,28-Oct-18,"Cambridge, MA",The Middle East - Downstairs,,['The Middle East - Downstairs']
Junglepussy,20-Oct-18,"Brooklyn, NY",Elsewhere,,['Bowery Ballroom']
Junglepussy,18-Oct-18,"Washington DC, US",Songbyrd Music House,,[]
Junglepussy,17-Oct-18,"Philadelphia, PA",The Foundry,,['Underground Arts']
Junglepussy,14-Oct-18,"Detroit, MI",Magic Stick,,"[""The Shelter, St. Andrew's Hall""]"
Junglepussy,13-Oct-19,"Chicago, IL",Chop Shop,,"['The Afterlife Music Hall', 'Bourbon On Division']"
Junglepussy,11-Oct-18,"Minneapolis, MN",Loring Bar & Restaurant,,[]
Junglepussy,4-Oct-18,"Portland, OR",Star Theater,,['Ponderosa Lounge & Grill']
Junglepussy,3-Oct-18,"San Francisco, CA",Slim’s,,['HopMonk Tavern - Novato']
Junglepussy,2-Oct-18,"Los Angeles, CA",The Echo,,[]
KAMAUU,2-Apr-20,"Brooklyn, NY",BRIC Arts Media House,,[]
KAMAUU,25-Feb-20,"Los Angeles, CA",Moroccan Lounge,,['Largo at the Coronet']
KAMAUU,24-Feb-20,"Brooklyn, NY",Baby’s All Right,,[]
KAMAUU,19-Feb-20,"Chicago, IL",Schubas Tavern,,[]
KAMAUU,10-Dec-19,"New York, NY",SOB’s,,[]
KAMAUU,29-Nov-19,"Detroit, MI",El Club,,"['The Token Lounge', 'Hot Rock']"
KAMAUU,26-Oct-19,"Millvale, PA",Mr. Small’s Theatre,,"['Club Caf�', 'Vinoski Winery', 'Hard Rock Caf� - Pittsburgh']"
KAMAUU,23-Oct-19,"Cleveland, OH",Beachland Ballroom,,['Beachland Ballroom']
KAMAUU,21-Oct-19,"Brooklyn, NY",Music Hall of Williamsburg,,[]
KAMAUU,20-Oct-19,"Baltimore, MD",Baltimore Soundstage,,"['Metro Gallery', 'Ottobar']"
