Band Name,Dates,Tour Citites,"Actual Venues, Size, Genre","Algorithm-determined venues, Size, Genre"
Blacktop Mojo,5-Feb-21,"Houston, TX","['The Studio, Warehouse Live', [5970.0, []]]","['Scout Bar', [0.93, 46361.0], [[1, 4, 1], [1, 4, 1]]]"
Blacktop Mojo,22-Oct-20,"Louisville, KY","['Diamond Pub Concert Hall', [1717.0, []]]",[]
Blacktop Mojo,21-Oct-20,"Butler, PA","['The Crafthouse Gastropub', ['', '']]","['Club Café', [0.48, 20689.2], [8, 8, 1, 8], 'Vinoski Winery', [0.83, 50399.333333333336], [0, 9, 1], 'Hard Rock Café - Pittsburgh', [0.69, 29948.0], [1]]"
Blacktop Mojo,18-Oct-20,"Atlantic City, NJ","['Anchor Rock Club', ['', '']]",[]
Blacktop Mojo,16-Oct-20,"Frenchtown, NJ","['Artie’s Bar and Grill', ['', '']]",[]
Blacktop Mojo,12-Oct-20,"Hopewell, VA","['Beacon Theatre', [180360.0, [9, 9]]]",[]
Blacktop Mojo,10-Oct-20,"Johnson City, TN","['Capone’s', ['', '']]","['Dancing Bear Lodge', [0.53, 22736.0], [1]]"
Blacktop Mojo,9-Oct-20,"Fort Smith, AR","['TempleLive Forst Smith', ['', '']]",[]
Blacktop Mojo,7-Oct-20,"Greer, SC","['The Spinning Jenny', [580.0, []]]",[]
Royal Bliss,26-Mar-21,"Salt Lake City, UT","['The Royal', ['', '']]",[]
Royal Bliss,20-Mar-21,"Ogden, UT","['Kamikaze’s', ['', '']]",[]
Royal Bliss,19-Mar-21,"Evanston, WY","['Painted Lady Saloon', ['', '']]","['Triangle Park', [0.98, 37297.0], [1]]"
Royal Bliss,5-Feb-21,"Salt Lake City, UT","['The Depot ', ['', '']]",[]
Royal Bliss,16-Jan-21,"Sturtevant, WI","['Route 20', [81936.0, [9]]]",[]
Royal Bliss,25-Nov-20,"Salt Lake City, UT","['The Depot ', ['', '']]",[]
Royal Bliss,13-Nov-20,"Flint, MI","['The Machine Shop', ['', '']]","['The Token Lounge', [0.9, 40105.0], [[1, 6, 1, 6], [1, 6, 1, 6]]]"
Royal Bliss,23-Oct-20,"Grand Junction, CO","['Mesa Theater & Club', ['', '']]",[]
Royal Bliss,22-Oct-20,"Joliet, IL","['The Forge', [225426.75, [9, 4]]]","['Wintrust Field', [0.49, 55227.666666666664], [[1, 1], [1, 1]]]"
Royal Bliss,30-Aug-20,"Nashville, TN","['The Cowan', ['', '']]","['The Warehouse', [0.43, 15828.0], [1]]"
Royal Bliss,24-Aug-20,"Baltimore, MD","['Baltimore Soundstage', [8952.2, [2]]]",[]
Remember Sports ,18-Jul-20,"Brooklyn, NY","['Baby’s All Right', ['', '']]","['Mercury Lounge', [0.69, 18022.5], [3, 8]]"
Remember Sports ,18-Nov-19,"Columbus, OH","['Ace of Cups', [31678.5, [1, 6]]]","['Ace of Cups', [0.79, 31678.5], [1, 6], 'Woodlands Tavern', [0.99, 25752.2], [2, 9, 8]]"
Remember Sports ,17-Nov-19,"Chicago, IL","['Beat Kitchen', ['', '']]",[]
Remember Sports ,15-Nov-19,"Brooklyn, NY","['Rough Trade NYC', [61216.0, []]]","['Mercury Lounge', [0.69, 18022.5], [3, 8]]"
Remember Sports ,14-Nov-19,"Philadelphia, PA","['Johnny Brenda’s', ['', '']]","['Milkboy Philly', [0.47, 12203.5], [[8, 8], [8, 8]], 'Kung Fu Necktie', [0.99, 26336.0], [8]]"
Remember Sports ,1-Jun-19,"Brooklyn, NY","['Baby’s All Right ', ['', '']]","['Mercury Lounge', [0.69, 18022.5], [3, 8]]"
Remember Sports ,4-May-19,"Cleveland, OH","['Agora Theatre & Ballroom', [540933.75, [5]]]","['Beachland Ballroom', [0.92, 28084.866666666665], [[[[8, 8, 7, 9, 8, 2, 6, 1], [8, 8, 7, 9, 8, 2, 6, 1]], [8, 8, 7, 9, 8, 2, 6, 1]], [8, 8, 7, 9, 8, 2, 6, 1]], 'Beachland Tavern', [0.49, 12816.666666666666], [1, 9]]"
Remember Sports,28-Apr-19,"Baltimore, MD","['Metro Gallery', [11956.0, [1]]]","['Metro Gallery', [0.46, 11956.0], [1]]"
Remember Sports,27-Apr-19,"Asbury Park, NJ","['Asbury Park Brewery', ['', '']]","['Mercury Lounge', [0.69, 18022.5], [3, 8]]"
Remember Sports,13-Apr-19,"Gambier, OH","['Kenyon College', ['', '']]","['Kent Theater', [0.87, 22736.0], [1]]"
Remember Sports,8-Apr-19,"Somerville, MA","['ONCE Ballroom', [14467.0, [8]]]","['The Center for the Arts in Natick (TCAN)', [0.91, 28481.666666666668], [9, 9, 1], 'The Spire Center for Performing Arts', [0.55, 14270.0], [1], 'ONCE Ballroom', [0.55, 14467.0], [8]]"
Cayetana,3-Aug-19,"Philadelphia, PA","['Union Transfer', [654039.75, [8, 6, 5]]]","['Kung Fu Necktie', [0.83, 26336.0], [8]]"
Cayetana,2-Aug-19,"Brooklyn, NY","['Rough Trade NYC', [61216.0, []]]","['Mercury Lounge', [0.57, 18022.5], [3, 8]]"
Cayetana,1-Aug-19,"Cambridge, MA","['The Sinclair ', ['', '']]","['The Center for the Arts in Natick (TCAN)', [0.9, 28481.666666666668], [9, 9, 1], 'The Spire Center for Performing Arts', [0.45, 14270.0], [1], 'ONCE Ballroom', [0.46, 14467.0], [8]]"
Cayetana,17-Jan-18,"Philadelphia, PA","['Boot & Saddle', ['', '']]","['Kung Fu Necktie', [0.83, 26336.0], [8]]"
Cayetana,30-Nov-17,"Brooklyn, NY","['Brooklyn Bowl', [0.0, []]]","['Mercury Lounge', [0.57, 18022.5], [3, 8]]"
Cayetana,8-Oct-17,"Baltimore, MD","['Metro Gallery', [11956.0, [1]]]",[]
Cayetana,7-Oct-17,"Charlotte, NC","['The Evening Muse', ['', '']]","['Lenny Boy Brewing', [0.83, 26341.0], [[[8, 8, 8], [8, 8, 8]], [8, 8, 8]], 'Quest Brewing Co.', [0.83, 26341.0], [[[8, 8, 8], [8, 8, 8]], [8, 8, 8]], 'The Radio Room', [0.51, 16272.666666666666], [8]]"
Cayetana,6-Oct-17,"Tallahassee, FL","['The Wilbury', ['', '']]",[]
Cayetana,4-Oct-17,"Miami, FL","['Gramps', [12462.0, [4]]]",[]
Cayetana,3-Oct-17,"Jacksonville, FL","['Nighthawks (Archetype)', ['', '']]","['Jack Rabbits', [0.76, 39375.2], [[[8, 8, 8], [8, 8, 8]], [8, 8, 8]]]"
Charly Bliss,12-Dec-20,"Columbus, OH","['Rumba Café', [214041.75, [9, 8]]]","['Ace of Cups', [0.73, 31678.5], [1, 6], 'Woodlands Tavern', [0.59, 25752.2], [2, 9, 8]]"
Charly Bliss,28-Dec-19,"Chicago, IL","['Lincoln Hall', ['', '']]","['Hey Nonny Live Music + Local Kitchen', [0.77, 33626.0], [5]]"
Charly Bliss,14-Nov-19,"Philadelphia, PA","['The Foundry', ['', '']]","['Kung Fu Necktie', [0.61, 26336.0], [8]]"
Charly Bliss,13-Nov-19,"New York, NY","['Webster Hall', ['', '']]","['Mercury Lounge', [0.42, 18022.5], [3, 8], 'Music Hall of Williamsburg', [0.66, 58136.0], [8], 'The Stone Pony', [0.66, 58136.0], [8]]"
Charly Bliss,5-Oct-19,"Eugene, OR","['WOW Hall', ['', '']]","['Camp Tadmor', [0.77, 53302.0], [5]]"
Charly Bliss,3-Oct-19,"Sacramento, CA","['Holy Driver', ['', '']]",[]
Charly Bliss,2-Oct-19,"Fresno, CA","['Strummer’s', ['', '']]",[]
Charly Bliss,1-Oct-19,"San Luis Obispo, CA","['SLO Brew Rock', [54.0, []]]","['Unknown venue', [0.52, 22683.0], [8]]"
Charly Bliss,21-Sep-19,"Lincoln, NE","['Lincoln Calling', ['', '']]",[]
Charly Bliss,20-Sep-19,"Iowa City, IA","['Gabe’s Oasis', ['', '']]",[]
Moon Taxi,"February 8th, 2020","Macon, GA","['Hargray Capital Theater', ['', '']]","['37 Main Avondale Estates', [0.46, 244911.0], [5]]"
Moon Taxi,"February 6th, 2020","Athens, GA","['Georgia Theater', ['', '']]","['37 Main Avondale Estates', [0.46, 244911.0], [5]]"
